symbol,hgnc_id,entrez_id
AGBL3,27981,340351
AGBL4,25892,84871
AGBL4-AS1,41123,101929721
AGBL4-IT1,41482,100874313
AGBL5,26147,60509
AGBL5-AS1,41133,100874031
AGBL5-IT1,41484,106481744
AGER,320,177
AGFG1,5175,3267
AGFG2,5177,3268
AGGF1,24684,55109
AGGF1P1,38051,100132380
AGGF1P2,38052,644435
AGGF1P3,38053,391552
AGGF1P4,38054,100129351
AGGF1P5,51741,100128103
AGGF1P6,51744,106481737
AGGF1P7,51740,100132606
AGGF1P8,51745,100128804
AGGF1P9,51746,100127958
AGGF1P10,51747,100288774
AGK,21869,55750
AGK-DT,55356,105375538
AGKP1,37661,359793
AGKP2,55132,392543
AGL,321,178
AGMAT,18407,79814
AGMO,33784,392636
AGO1,3262,26523
AGO2,3263,27161
AGO3,18421,192669
AGO4,18424,192670
AGPAT1,324,10554
AGPAT2,325,10555
AGPAT3,326,56894
AGPAT4,20885,56895
AGPAT4-IT1,20988,79992
AGPAT5,20886,55326
AGPAT5P1,37709,646231
AGPS,327,8540
AGR2,328,10551
AGR3,24167,155465
AGRN,329,375790
AGRP,330,181
AGT,333,183
AGTPBP1,17258,23287
AGTR1,336,185
AGTR2,338,186
AGTRAP,13539,57085
AGXT,341,189
AGXT2,14412,64902
AHCTF1,24618,25909
AHCTF1P1,24620,285116
AHCY,343,191
AHCYL1,344,10768
AHCYL2,22204,23382
AHCYP1,44993,340844
AHCYP2,44994,392387
AHCYP3,44995,402093
AHCYP4,44996,129560
AHCYP5,44997,391470
AHCYP6,44998,100419714
AHCYP7,44999,645486
AHCYP8,45000,107063538
AHDC1,25230,27245
AHI1,21575,54806
AHI1-DT,32526,100131814
AHNAK,347,79026
AHNAK2,20125,113146
AHR,348,196
AHRR,346,57491
AHSA1,1189,10598
AHSA2P,20437,130872
AHSG,349,197
AHSP,18075,51327
AICDA,13203,57379
AIDA,25761,64853
AIDAP1,54663,646050
AIDAP2,54664,646890
AIDAP3,54665,100128360
AIF1,352,199
AIF1L,28904,83543
AIFM1,8768,9131
AIFM1P1,44884,645120
AIFM2,21411,84883
AIFM3,26398,150209
AIG1,21607,51390
AIG1P1,43926,106479028
AIM2,357,9447
AIMP1,10648,9255
AIMP1P1,16543,170547
AIMP1P2,43693,100873064
AIMP2,20609,7965
AIP,358,9049
AIPL1,359,23746
AIRE,360,326
AIRN,34515,100271873
AJAP1,30801,55966
AJM1,37284,389813
AJUBA,20250,84962
AJUBA-DT,55449,107984660
AK1,361,203
AK2,362,204
AK2P1,24037,266920
AK2P2,33542,339736
AK3,17376,50808
AK3P2,31099,100419074
AK3P3,39062,100419075
AK3P4,39063,100129959
AK3P5,39064,100288319
AK3P6,39065,100873789
AK4,363,205
AK4P1,364,206
AK4P2,39066,100132104
AK4P3,21596,645619
AK4P4,39067,100128705
AK4P5,39068,100526416
AK4P6,39069,649288
AK5,365,26289
AK6,49151,102157402
AK6P1,51678,100132086
AK6P2,51679,100128817
AK7,20091,122481
AK8,26526,158067
AK9,33814,221264
AKAIN1,28285,642597
AKAP1,367,8165
AKAP1-DT,55339,119139901
AKAP2,372,
AKAP3,373,10566
AKAP4,374,8852
AKAP5,375,9495
AKAP6,376,9472
AKAP7,377,9465
AKAP8,378,10270
AKAP8L,29857,26993
AKAP8P1,49758,646114
AKAP9,379,10142
AKAP10,368,11216
AKAP11,369,11215
AKAP12,370,9590
AKAP13,371,11214
AKAP14,24061,158798
AKAP17A,18783,8227
AKAP17BP,38514,139516
AKIP1,1170,56672
AKIRIN1,25744,79647
AKIRIN1P1,50794,100418731
AKIRIN1P2,50797,106480306
AKIRIN2,21407,55122
AKIRIN2P1,50796,100216487
AKNA,24108,80709
AKNAD1,28398,254268
AKR1A1,380,10327
AKR1B1,381,231
AKR1B1P1,420,401982
AKR1B1P2,425,236
AKR1B1P3,422,729347
AKR1B1P4,423,390402
AKR1B1P5,20002,390482
AKR1B1P6,33498,100129769
AKR1B1P7,33497,126242
AKR1B1P8,33496,392525
AKR1B10,382,57016
AKR1B10P1,45062,340888
AKR1B10P2,45063,643582
AKR1B15,37281,441282
AKR1C1,384,1645
AKR1C2,385,1646
AKR1C3,386,8644
AKR1C4,387,1109
AKR1C5P,44679,100996684
AKR1C6P,44680,389932
AKR1C7P,44681,648947
AKR1C8,23469,340811
AKR1D1,388,6718
AKR1D1P1,11288,80701
AKR1E2,23437,83592
AKR7A2,389,8574
AKR7A2P1,24062,246182
AKR7A2P2,55059,159007
AKR7A3,390,22977
AKR7L,24056,246181
AKT1,391,207
AKT1S1,28426,84335
AKT2,392,208
AKT3,393,10000
AKT3-IT1,41304,100874263
AKTIP,16710,64400
ALAD,395,210
ALAS1,396,211
ALAS2,397,212
ALB,399,213
ALCAM,400,214
ALDH1A1,402,216
ALDH1A2,15472,8854
ALDH1A2-AS1,27515,283665
ALDH1A3,409,220
ALDH1A3-AS1,55416,101927751
ALDH1B1,407,219
ALDH1L1,3978,10840
ALDH1L1-AS1,40244,100874204
ALDH1L1-AS2,42446,100862662
ALDH1L2,26777,160428
ALDH2,404,217
ALDH3A1,405,218
ALDH3A2,403,224
ALDH3B1,410,221
ALDH3B2,411,222
ALDH4A1,406,8659
ALDH5A1,408,7915
ALDH6A1,7179,4329
ALDH7A1,877,501
ALDH7A1P1,878,541
ALDH7A1P2,879,542
