MT_iCHOv1_final,MT_iHsa,MT_iMM1415,MT_iRno,MT_recon_1,MT_recon_2_2_entrez
103162797,166785,13190,24701,2235,10901
100753239,166929,20249,24710,2235,13
100771243,167153,56473,24711,224,117247
103163173,169355,76267,24763,226,11343
100771304,170685,13350,24777,226,978
100758880,171425,67800,24778,226.3,84679
103163077,171568,14923,24779,2271,30833
100765877,1716,27369,24780,22856,55577
100689173,1717,20525,24781,229,51196
100763313,1718,20528,24782,22928,51079
100756878,1719,20527,24783,22929,22856
100759604,1723,14712,24784,22934,10090
100750608,1725,74754,24785,22978,57094
100750890,1727,13360,24786,230,117283
100757464,1728,13244,24787,23007,79723
100773095,1733,20860,24788,23057,50484
100767465,1734,13361,24792,23057,51447
100774317,1735,56749,24800,231,58510
100753555,1737,64705,24813,23169,94033
100772448,1738,12934,24834,23236,27010
100765668,1743,22240,24841,23236,10157
100752449,1748,110391,24848,23315,50808
100774830,175,14593,24849,23382,50515
100751291,1757,110196,24860,23396,55501
100761652,178,74129,24861,23417,27159
100764278,1786,18605,24862,23428,51302
100774858,1787,18606,24886,23428,64816
100760573,1788,209558,24891,23439,10948
100765276,1789,13436,24894,23443,10423
100765605,1798,13434,24898,23464,95
100751272,18,13433,24902,23475,81537
100689318,1800,13435,24904,23478,80146
100763359,1806,67283,24912,2348,51268
100766856,1807,13135,24913,2348,93034
100772055,1808,13200,24914,2348.3,84618
100767446,1809,103963,24950,2348.4,51251
100753973,1811,20014,24957,2348.5,80142
100689373,183,57170,24959,2348.6,29906
100773620,1836,320438,24962,23483,130752
100759306,1841,381903,25009,23498,56994
100764163,1852,380959,25014,2351,26035
100765882,1854,208624,25027,2352,26061
100757642,189,79087,25028,23530,64802
100757262,1890,13481,25031,23530,27306
100756134,1891,13480,25035,23533,97
100750552,1892,68563,25044,23539,51166
100756663,19,59012,25045,23545,50487
100756951,191,13166,25055,23556,1036
100766960,192134,22173,25056,23556,51109
100767025,192286,20538,25058,2356,51146
100768385,1951,13162,25059,23563,51301
100689451,195814,20519,25060,23563,126792
100689294,196051,71743,25062,23600,162417
100689420,1962,18648,25065,23600,98
100772754,196743,12183,25073,23632,1040
100768592,196883,56012,25081,23657,8760
100751648,196951,192156,25085,23743,10991
100771009,197257,71336,25086,23761,116285
100768412,197258,21915,25095,239,387775
100689347,1977,99586,25096,240,84706
100689430,199857,619653,25097,242,51296
100689434,199974,57813,25104,245972,92745
100689346,200010,667034,25106,245973,10402
100689435,200576,76654,25116,246,55867
100689438,200895,110074,25117,246213,90423
100773644,200931,13595,25120,247,53947
100754023,201164,93747,25132,248,10587
100757006,201232,67758,25134,249,51540
100773213,201562,217364,25139,250,57835
100769077,2023,13806,25146,251,51727
100768656,2026,13808,25147,2517,51805
100760456,2027,13807,25176,2519,116255
100766691,203,26237,25179,2523,245973
100760162,2030,68671,25197,2525,127124
100753385,204,20887,25202,2530,245972
100754088,204219,110842,25206,2530,55825
100767717,204962,110826,25216,2530.3,55907
100689187,205,66841,25227,2530.4,51606
100689440,2052,214253,25238,2530.5,55217
100750518,2053,75320,25240,2531,80270
100751104,2058,75540,25241,253430,9807
100756372,206358,53618,25244,2538,79814
100773468,2098,99035,25249,2539,10965
103160971,210,74205,25256,2542,51056
100767492,2108,50790,25257,2544,1056
100751894,2109,22305,25260,2548,23545
100773335,211,14081,25270,256435,126129
100764271,2110,433256,25274,257068,81579
100766566,212,26458,25275,2571,80339
100752487,213,117147,25278,2571,91227
100759511,2131,83603,25279,2572,100
100761032,2132,13117,25280,257202,64064
100751357,2135,11532,25282,25769,8824
100774971,2137,26568,25283,25796,8260
100764893,215,26457,252832,2581,206358
100689380,216,26569,25284,2582,153201
100766326,2162,26459,252854,2582,27109
100761996,2165,230163,25287,2583,93010
100761041,2166,11674,25288,2584,1080
100765538,2167,11676,25289,2585,66002
100765524,2168,14120,252898,2585,56848
100750781,2169,14121,252899,2588,166785
100772999,217,170768,25290,2589,51380
100760756,2170,270198,252900,2590,51181
100773712,2171,18639,25291,25902,79178
100769477,2172,18640,252919,2591,15
100750926,2173,14151,25293,2592,9023
100772168,218,107747,252931,2592,57134
100753298,2180,73649,252934,2592.3,160728
100755254,2181,234730,25303,259230,1103
100765223,2182,319945,25315,2593,29968
100764086,2184,14287,25318,2593,90161
100689404,219,230612,25319,2595,266722
100752582,2193,14317,25322,2597,89869
100763114,2194,107885,25331,26,54187
100770231,219970,286297,25332,26002,64781
100758964,220,108156,25351,26035,130013
100689101,220074,270685,25352,26062,81849
100757593,2203,66848,25355,2618,256435
100765627,220963,71665,25363,2618,1118
100765914,221,14194,25368,262,79646
100766785,221223,14085,25371,26227,55229
100754740,221264,27376,25372,26229,1119
100760992,221357,14343,25374,26237,1120
100773774,221443,14348,25375,26266,222537
100765091,221823,56737,25386,26275,120103
100764380,221955,14595,25390,26275,51086
100770462,222,56336,25391,26279,22929
100771068,2222,57370,25413,2628,22928
100774815,2224,53418,25416,26289,8534
100760161,222537,14555,25418,26289,51102
100764057,222962,14571,25426,2629,9435
100751197,223,26384,25427,2629,197257
100753569,2232,67980,25428,2629.3,9469
100771298,2235,100198,25429,2629.4,10164
100770521,224,14381,25430,2629.5,124583
100757047,226,14385,25438,26290,23563
100751185,2271,14431,25440,26301,122970
100756367,2272,53897,25445,2632,55568
100751905,22820,19025,25455,26330,63917
100756415,22845,50917,25458,2639,79695
100756635,22856,12091,25478,2639,1152
100772646,22876,18010,25506,2643,1158
100766871,229,14420,25508,2645,1159
100689326,22908,14421,25511,2645,130367
100689415,22928,69976,25514,2645.3,79751
100761441,22929,14635,25526,2650,1160
100774790,22933,78752,25527,26503,157506
100762053,22934,234356,25548,2651,145226
100755276,22949,269941,25549,2653,112724
100760557,22977,74241,25550,2655,57665
100753418,22978,78923,25551,266722,64841
100771550,230,14430,25552,2673,122481
100755684,23039,117592,25553,2678,122622
100766719,23057,218271,25557,2678,123099
100760913,23070,7359,25586,2678.3,374569
100768920,231,216558,25591,2679,1178
100764454,23112,56017,25594,2683,246213
100762285,23127,20526,25596,2687,55343
100757138,23169,170441,25598,26873,51004
100759381,23171,20537,25604,270,260293
100750766,23175,232714,25611,27010,83852
100689432,23193,100043349,25612,27034,142680
100766541,23203,14447,25618,27068,23483
100756363,23205,14450,25623,27068,126328
100751653,23214,11593,25627,27068.3,54539
100759992,23236,14466,25629,27068.4,26301
100753164,2326,227671,25630,27087,29922
100751624,23262,104776,25634,27087,10201
100751331,2327,214579,25636,27089,56603
100751913,2328,434437,25638,271,199974
100774216,2329,68133,25642,271,84912
100762502,2330,104174,25648,271.3,115286
100767644,23305,14538,25649,2710,114112
100762147,23315,228368,25650,2710,84735
100772588,23318,14584,25659,27115,121278
100752606,23324,14583,25666,2712,23315
100768882,23363,22122,25668,27124,1200
100767691,23371,667301,25675,27124,253430
100769024,23382,2655,25680,2713,64579
100758683,2339,27357,25693,27159,79901
100751897,23395,232493,25694,27159,11046
100761447,23396,14936,25698,27165,23169
100766917,23408,8908,25699,27165,196743
100755423,23410,23887,25702,2717,137964
100763538,23411,20425,25708,272,56895
100762380,23417,108037,25709,2720,55326
100751325,2342,11605,25715,27232,125061
100751798,23428,74185,25721,27235,1215
100763430,23430,110006,25732,2729,349565
103163585,23438,93683,25738,2730,51557
100750340,23439,54480,25739,27306,25902
100762963,23443,14042,25741,2731,26002
100689038,23446,14043,25748,27349,9481
100761226,23463,76898,25750,27349,79966
100759470,23464,72727,25756,2739,55811
100689030,23475,280645,25757,27430,65985
100689394,23478,27419,259167,27430,60481
100767453,2348,15531,259233,2744,129807
100769769,23483,83398,259248,2745,8050
100754687,23491,17423,259274,2746,54511
100772184,23498,64580,26192,2747,112611
100769759,23516,13478,26193,275,56623
100758035,23517,58193,26194,2752,92483
100762360,2352,54616,26195,276,28976
100756648,23530,56219,26196,276,132789
100755303,23533,246787,26197,2762,117248
100766909,23539,53881,26198,2766,1267
100762500,23545,241612,26199,277,80724
100752884,23553,109342,26200,278,79017
100755187,23556,77559,26201,279,146712
100763093,2356,266744,26202,2799,166012
100768315,23563,14645,26203,28,10087
100754134,23564,110095,26204,280,200010
100774299,23569,19309,266603,2805,23382
100774665,23576,110078,266604,2806,1312
100763970,23590,14630,266612,2819,10229
100756094,23597,14629,266674,2820,1327
100765179,23600,14660,266682,2821,9377
100765359,23616,216456,266685,28231,1329
100773930,23632,231327,266686,28232,1337
100757887,23633,270076,266689,28234,1339
100758206,23646,71803,266730,284098,1340
100751939,23649,68267,266732,284111,1345
100761743,23657,56185,266758,284129,1346
100757875,23659,15112,266761,284208,1347
100763383,23729,67092,266767,284273,9167
100774981,23743,76238,266770,284273,1349
100755985,23761,14626,266805,285216,1350
100765024,239,2713,266807,286016,83884
100758424,2395,14933,266975,286297,29926
100760138,240,14651,266998,2875,29925
100750356,242,68977,26759,2876,1351
100689191,245972,14664,26760,2876,79623
100768979,245973,104245,26956,2877,1356
100753746,246,218138,282636,2878,1357
100767455,246213,66355,282712,2879,1358
100765125,247,105446,282821,28972,18
100769391,248,229363,282838,28976,151531
100761489,249,110208,286896,290,124935
100768312,2495,14711,286906,291,284111
100761810,250,14732,286921,29124,121260
100761374,251,70325,286922,292,115584
100751227,2517,241062,286936,293,55315
100750935,2519,67556,286953,2936,222962
100766418,2523,72084,286954,2937,125206
100761083,2524,14782,286964,2944,29929
100756973,2525,625249,286974,2944,112483
100758718,2526,18477,286976,2954,79053
100762115,2527,14776,286989,2954,84920
100774527,2528,21672,287115,2954.3,285440
100771106,2529,14775,287159,2974,107
100774295,2530,75512,287164,2977,1371
100760350,253017,14778,287191,29796,284098
100761577,2531,11757,287366,29796,84720
100773906,253430,14854,287368,2982,1373
100751871,253558,2679,287379,2983,114805
100759583,253782,14598,287406,2984,80168
100757118,2538,14528,287420,2986,1374
100759877,2539,245650,287424,2987,23474
100773401,254173,2974,287425,29880,1375
100765162,2542,230103,287451,2990,108
100760372,254428,14919,287454,29906,1376
100759393,254531,60596,287479,2992,80201
100772460,2548,54195,287532,29920,30815
100755549,255189,234889,287533,29922,109
100756748,256126,18160,287593,29922,55268
100768365,256281,14917,287610,29925,1384
100751280,256356,14544,287644,29925,91734
100760414,256435,15452,287711,29926,196883
100774596,2571,76459,287745,29926,84890
100752066,2572,12354,287835,29929,111
100760815,257202,12349,287877,29958,55808
100759648,25769,12350,287920,29968,10020
100767312,25796,230099,287924,29968,54677
100689280,25797,12351,287949,2997,112
100759109,25800,12346,287983,2998,339221
100767919,2581,23831,288041,29988,200576
100774834,2582,71934,288051,30,79837
100761485,2583,12352,288057,3000,113
100765916,25834,56078,288058,3028,114
100750856,2584,27392,288079,3029,55967
100757890,2585,230801,288161,3030,115
100689433,25874,99439,288174,3032,91703
100760683,2588,214593,288238,3033,374907
100766769,25885,11833,288240,3034,192134
100689427,25902,56703,288259,3036,11332
100757665,2592,18701,288333,3037,81616
100763379,259230,433931,288360,3038,1431
103159994,2593,239827,288364,3038,9514
100754096,259307,14731,288489,3067,132158
100762756,2595,329777,288499,3073,51005
100761571,2597,78928,288583,3074,51071
100768313,25973,276846,288588,3081,55349
100765196,25976,228812,288617,30814,10390
100689106,26,15108,288666,30815,55790
100751632,26002,15107,288707,30833,79586
100774679,26007,15117,288719,3098,55454
100751356,260293,15118,288752,3098,337876
100771188,26035,15116,288762,3098.3,56913
100765235,26061,71883,288912,3098.4,125965
